CaseID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Role
1,Create Purchase Requisition,Kim Passa,2010/12/31 15:00:00.000,2010/12/31 15:37:00.000,Variant 2,Requester
1,Create Request for Quotation Requester,Kim Passa,2010/12/31 20:37:00.000,2010/12/31 20:45:00.000,Variant 2,Requester
1,Analyze Request for Quotation,Karel de Groot,2010/12/31 21:41:00.000,2010/12/31 21:55:00.000,Variant 2,Purchasing Agent
1,Send Request for Quotation to Supplier,Karel de Groot,2011/01/01 02:43:00.000,2011/01/01 03:09:00.000,Variant 2,Purchasing Agent
1,Create Quotation comparison Map,Magdalena Predutta,2011/01/01 03:32:00.000,2011/01/01 07:03:00.000,Variant 2,Purchasing Agent
1,Analyze Quotation comparison Map,Immanuel Karagianni,2011/01/01 13:44:00.000,2011/01/01 14:13:00.000,Variant 2,Requester
1,Choose best option,Tesca Lobes,2011/01/01 14:13:00.000,2011/01/01 14:13:00.000,Variant 2,Requester
1,Settle conditions with supplier,Francois de Perrier,2011/01/01 16:22:00.000,2011/01/02 00:20:00.000,Variant 2,Purchasing Agent
1,Create Purchase Order,Karel de Groot,2011/01/02 00:58:00.000,2011/01/02 01:10:00.000,Variant 2,Purchasing Agent
1,Confirm Purchase Order,Sean Manney,2011/01/02 05:09:00.000,2011/01/02 05:43:00.000,Variant 2,Supplier
1,Deliver Goods Services,Sean Manney,2011/01/02 11:49:00.000,2011/01/02 18:37:00.000,Variant 2,Supplier
1,Release Purchase Order,Elvira Lores,2011/01/03 02:20:00.000,2011/01/03 02:21:00.000,Variant 2,Requester
1,Approve Purchase Order for payment,Karel de Groot,2011/01/03 10:09:00.000,2011/01/03 10:10:00.000,Variant 2,Purchasing Agent
1,Send invoice,Kiu Kan,2011/01/03 15:54:00.000,2011/01/03 15:54:00.000,Variant 2,Supplier
1,Release Supplier's Invoice,Karalda Nimwada,2011/01/04 06:08:00.000,2011/01/04 06:13:00.000,Variant 2,Financial Manager
1,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/04 06:13:00.000,2011/01/04 06:13:00.000,Variant 2,Financial Manager
1,Pay invoice,Pedro Alvares,2011/01/04 06:22:00.000,2011/01/04 06:31:00.000,Variant 2,Financial Manager
1,End,End,2011/01/04 06:31:00.000,2011/01/04 06:31:00.000,Variant 2,End
39,Create Purchase Requisition,Nico Ojenbeer,2011/01/04 20:55:00.000,2011/01/04 21:47:00.000,Variant 11,Requester
39,Analyze Purchase Requisition,Maris Freeman,2011/01/05 07:25:00.000,2011/01/05 07:30:00.000,Variant 11,Requester Manager
